codigo,nome,municipio,melhor_candidato,score,score_nome,score_endereco,margem,motivo
"50021176","CENTRO EDUCACIONAL DE MUNDO NOVO - MICKEY","Mundo Novo","ESCOLA DO MICKEY","0.4563","0.5263","0.5","0.4563","abaixo do limiar ou ambíguo"
"50027050","CENTRO DE EDUCACAO INFANTIL GUAICURU","Mundo Novo","ESCOLA DE EDUCACAO INFANTIL","0.4725","0.6364","0.3","0.4725","abaixo do limiar ou ambíguo"
"50030515","CENTRO DE EDUCACAO INFANTIL MONTEIRO LOBATO","Mundo Novo","CENTRO DE ENSINO MONTEIRO LOBATO","0.6806","0.7647","0.7941","0.2383","abaixo do limiar ou ambíguo"
"50031996","CENTRO DE EDUCACAO INFANTIL JOSE HONORATO DA SILVA","Mundo Novo","ESCOLA MUNICIPAL JOSE HONORATO","0.5887","0.6286","0.7654","0.1788","abaixo do limiar ou ambíguo"
"50048805","CENTRO DE APOIO E REINTEGRACAO INFANTIL - CEI - CARI","Mundo Novo","","","","","","sem candidato nominal"
"50021290","CIEI - MARIA JOSE DA SILVA CANCADO","Naviraí","ESC MUN PROF JOSE CARLOS DA SILVA","0.3712","0.4545","0.3438","0.3712","abaixo do limiar ou ambíguo"
"50021303","CEDEN - CENTRO DE ED ESPECIAL NAVIRAIENSE","Naviraí","CENTRO DE APOIO EDUCACAO ESPECIAL","0.3864","0.4918","0.3133","0.3864","abaixo do limiar ou ambíguo"
"50021346","EE EURICO GASPAR DUTRA","Naviraí","ESCOLA ESTAD EURICO G DUTRA","0.5816","0.5806","0.8525","0.5816","abaixo do limiar ou ambíguo"
"50021400","EMEIEF VER ODERCIO NUNES DE MATOS","Naviraí","ESCOLA MUNICIPAL ODERCIO NUNES DE MATOS","0.6938","0.9143","0.4884","0.0833","abaixo do limiar ou ambíguo"
"50021419","EMEIEF CANDIDO DE MARCO - POLO E EXTENSOES","Naviraí","ESCOLA PUBLICA MUNICIPAL CANDIDO DE MOURA","0.3793","0.4516","0.382","0.3793","abaixo do limiar ou ambíguo"
"50021427","EMEF MARECHAL RONDON","Naviraí","ESCOLA MUNICIPAL MARECHAL CANDIDO RONDON","0.6146","0.6667","0.7742","0.6146","abaixo do limiar ou ambíguo"
"50022610","COLEGIO OBJETIVO MINIE","Naviraí","COLEGIO MAXI REINO","0.4106","0.4706","0.4571","0.0079","abaixo do limiar ou ambíguo"
"50029991","CIEI - PROFESSORA AZENA RICCO DE FREITAS","Naviraí","","","","","","sem candidato nominal"
"50032054","ESCOLA DO SESI NAVIRAI","Naviraí","COLEGIO NAVIRAI","0.5888","0.75","0.4762","0.0758","abaixo do limiar ou ambíguo"
"50032500","CENTRO DE EDUCACAO PROFISSIONAL - SENAC NAVIRAI","Naviraí","IFMS E CENTRO EDUCACAO PROFISSIONALSENADOR RAMEZ TEBET","0.5112","0.6744","0.3579","0.1065","abaixo do limiar ou ambíguo"
"50032607","CENTRO DE EDUCACAO E TECNOLOGIA SENAI NAVIRAI","Naviraí","CENTRO DE APOIO EDUCACAO ESPECIAL","0.4303","0.5152","0.4267","0.007","abaixo do limiar ou ambíguo"
"50033212","IFMS - CAMPUS NAVIRAI","Naviraí","COLEGIO NAVIRAI","0.4175","0.5455","0.3051","0.0546","abaixo do limiar ou ambíguo"
"50033514","CENTRO DE EDUCACAO PROFISSIONAL IPED-MS","Naviraí","IFMS E CENTRO EDUCACAO PROFISSIONALSENADOR RAMEZ TEBET","0.468","0.625","0.3095","0.0249","abaixo do limiar ou ambíguo"
"50033913","COLEGIO NAVIRAI-ENSINO FUNDAMENTAL E MEDIO","Naviraí","COLEGIO NAVIRAI","0.5518","0.5306","0.8571","0.0739","abaixo do limiar ou ambíguo"
"50034871","PRO MAIS EDUCACIONAL","Naviraí","","","","","","sem candidato nominal"
"50035290","CIEI PROFESSORA ANAI MARIA RAMOS RICCI","Naviraí","","","","","","sem candidato nominal"
"50014897","EE PADROEIRA DO BRASIL","Nioaque","","","","","","sem candidato nominal"
"50014927","ESCOLA MUNICIPAL DR JOSE GARCIA NETTO","Nioaque","DOUTOR JOSE GARCIA NETO POLO","0.7029","0.9677","0.3958","0.0005","abaixo do limiar ou ambíguo"
"50025619","CEI - RITA LOPES DE ANDREA","Nioaque","","","","","","sem candidato nominal"
