referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
4,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,vinculo_contextual,contextual,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes
4,"Projeto, equipe e PRICI",indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,vinculo_contextual,contextual,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes
4,"Projeto, equipe e PRICI",potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,vinculo_contextual,contextual,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes
4,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,vinculo_contextual,contextual,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes
5,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,vinculo_contextual,contextual,https://orcid.org/0000-0001-9975-9612
5,"Projeto, equipe e PRICI",indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,vinculo_contextual,contextual,https://orcid.org/0000-0001-9975-9612
5,"Projeto, equipe e PRICI",potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,vinculo_contextual,contextual,https://orcid.org/0000-0001-9975-9612
5,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,vinculo_contextual,contextual,https://orcid.org/0000-0001-9975-9612
6,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,vinculo_contextual,contextual,https://orcid.org/0000-0003-2299-9102
6,"Projeto, equipe e PRICI",indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,vinculo_contextual,contextual,https://orcid.org/0000-0003-2299-9102
6,"Projeto, equipe e PRICI",potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,vinculo_contextual,contextual,https://orcid.org/0000-0003-2299-9102
6,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,vinculo_contextual,contextual,https://orcid.org/0000-0003-2299-9102
7,"Território, municípios e população",municipios_limites,Limites municipais,territorio,regra_curada,alta,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip
7,"Território, municípios e população",limite_operacional_ipg_fase3,Limite operacional de contingência da Fase 3.2,territorio,regra_curada,alta,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip
8,"Território, municípios e população",municipios_sedes,Sedes municipais e população estimada 2025,territorio,regra_curada,alta,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html
8,"Território, municípios e população",localidades_populacoes,Localidades e populações consolidadas,territorio,regra_curada,alta,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html
8,"Território, municípios e população",limite_operacional_ipg_fase3,Limite operacional de contingência da Fase 3.2,territorio,regra_curada,alta,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html
9,"Território, municípios e população",municipios_sedes,Sedes municipais e população estimada 2025,territorio,regra_curada,alta,https://cidades.ibge.gov.br
